K,mu_eff_from_lambda,mu0_real,mu0_imag,mu1_real,mu1_imag
4.02,-7.096137028712167,-4.61922665237307,0.5333166144434938,-4.61922665237307,-0.5333166144434938
4.03,-7.110731351753373,-4.630717371912555,0.5346436109175254,-4.630717371912555,-0.5346436109175254
4.04,-7.125321933819693,-4.642208091190483,0.5359706065601748,-4.642208091190483,-0.5359706065601748
4.05,-7.139908788758096,-4.653698810208793,0.5372976013775786,-4.653698810208793,-0.5372976013775786
4.06,-7.154491930330551,-4.6651895289694,0.5386245953758112,-4.6651895289694,-0.5386245953758112
4.07,-7.1690713722150505,-4.676680247474203,0.5399515885608884,-4.676680247474203,-0.5399515885608884
4.08,-7.183647128004409,-4.688170965725079,0.5412785809387677,-4.688170965725079,-0.5412785809387677
4.09,-7.198219211210997,-4.699661683723889,0.5426055725153465,-4.699661683723889,-0.5426055725153465
4.1,-7.212787635261207,-4.711152401472475,0.543932563296469,-4.711152401472475,-0.543932563296469
4.109999999999999,-7.227352413502406,-4.722643118972664,0.5452595532879179,-4.722643118972664,-0.5452595532879179
4.12,-7.2419135592004285,-4.734133836226261,0.5465865424954232,-4.734133836226261,-0.5465865424954232
4.13,-7.256471085539438,-4.745624553235055,0.5479135309246582,-4.745624553235055,-0.5479135309246582
4.14,-7.271025005625685,-4.757115270000817,0.5492405185812423,-4.757115270000817,-0.5492405185812423
4.15,-7.285575332485881,-4.768605986525304,0.5505675054707412,-4.768605986525304,-0.5505675054707412
4.16,-7.30012207906736,-4.780096702810255,0.5518944915986655,-4.780096702810255,-0.5518944915986655
4.17,-7.314665258241469,-4.791587418857387,0.5532214769704751,-4.791587418857387,-0.5532214769704751
4.18,-7.329204882801841,-4.803078134668409,0.5545484615915768,-4.803078134668409,-0.5545484615915768
4.1899999999999995,-7.34374096546526,-4.814568850245007,0.5558754454673258,-4.814568850245007,-0.5558754454673258
4.2,-7.358273518873857,-4.826059565588859,0.5572024286030279,-4.826059565588859,-0.5572024286030279
4.21,-7.372802555593603,-4.837550280701615,0.5585294110039377,-4.837550280701615,-0.5585294110039377
4.22,-7.387328088116705,-4.84904099558492,0.5598563926752584,-4.84904099558492,-0.5598563926752584
4.2299999999999995,-7.401850128860586,-4.860531710240397,0.5611833736221479,-4.860531710240397,-0.5611833736221479
4.24,-7.416368690171414,-4.872022424669661,0.5625103538497126,-4.872022424669661,-0.5625103538497126
4.25,-7.430883784320972,-4.883513138874301,0.5638373333630129,-4.883513138874301,-0.5638373333630129
4.26,-7.445395423508903,-4.8950038528559014,0.5651643121670599,-4.8950038528559014,-0.5651643121670599
4.27,-7.45990361986477,-4.906494566616027,0.5664912902668193,-4.906494566616027,-0.5664912902668193
4.28,-7.47440838544615,-4.917985280156227,0.5678182676672104,-4.917985280156227,-0.5678182676672104
4.29,-7.488909732240677,-4.929475993478039,0.5691452443731072,-4.929475993478039,-0.5691452443731072
4.3,-7.5034076721666825,-4.940966706582983,0.5704722203893369,-4.940966706582983,-0.5704722203893369
4.31,-7.517902217072135,-4.952457419472571,0.5717991957206843,-4.952457419472571,-0.5717991957206843
4.32,-7.532393378738409,-4.963948132148294,0.5731261703718881,-4.963948132148294,-0.5731261703718881
4.33,-7.546881168876716,-4.975438844611634,0.5744531443476438,-4.975438844611634,-0.5744531443476438
4.34,-7.561365599132784,-4.986929556864055,0.5757801176526052,-4.986929556864055,-0.5757801176526052
4.35,-7.575846681083174,-4.998420268907013,0.5771070902913813,-4.998420268907013,-0.5771070902913813
4.359999999999999,-7.590324426240323,-5.009910980741944,0.5784340622685411,-5.009910980741944,-0.5784340622685411
4.37,-7.604798846049608,-5.021401692370279,0.5797610335886099,-5.021401692370279,-0.5797610335886099
4.38,-7.6192699518907485,-5.03289240379343,0.5810880042560732,-5.03289240379343,-0.5810880042560732
4.39,-7.633737755079515,-5.044383115012796,0.5824149742753754,-5.044383115012796,-0.5824149742753754
4.4,-7.648202266866886,-5.055873826029767,0.5837419436509206,-5.055873826029767,-0.5837419436509206
4.41,-7.6626634984400015,-5.067364536845717,0.5850689123870723,-5.067364536845717,-0.5850689123870723
4.42,-7.677121460923584,-5.078855247462012,0.5863958804881564,-5.078855247462012,-0.5863958804881564
4.43,-7.691576165378076,-5.0903459578799986,0.5877228479584587,-5.0903459578799986,-0.5877228479584587
4.4399999999999995,-7.706027622802767,-5.101836668101016,0.5890498148022265,-5.101836668101016,-0.5890498148022265
4.45,-7.720475844134776,-5.113327378126395,0.5903767810236685,-5.113327378126395,-0.5903767810236685
4.46,-7.734920840250446,-5.124818087957445,0.591703746626959,-5.124818087957445,-0.591703746626959
4.47,-7.749362621964127,-5.136308797595472,0.5930307116162292,-5.136308797595472,-0.5930307116162292
4.48,-7.763801200030594,-5.147799507041769,0.5943576759955793,-5.147799507041769,-0.5943576759955793
4.49,-7.778236585144891,-5.15929021629761,0.5956846397690695,-5.15929021629761,-0.5956846397690695
4.5,-7.792668787942157,-5.170780925364268,0.5970116029407267,-5.170780925364268,-0.5970116029407267
4.51,-7.807097818999285,-5.182271634242997,0.5983385655145389,-5.182271634242997,-0.5983385655145389
4.52,-7.821523688833308,-5.193762342935046,0.5996655274944618,-5.193762342935046,-0.5996655274944618
4.53,-7.83594640790539,-5.205253051441649,0.6009924888844158,-5.205253051441649,-0.6009924888844158
4.54,-7.850365986616435,-5.216743759764031,0.6023194496882862,-5.216743759764031,-0.6023194496882862
4.55,-7.864782435312543,-5.228234467903404,0.6036464099099227,-5.228234467903404,-0.6036464099099227
