K,rho,angle,label
2.731462926,0.984885780,0.295055062,complex
2.747494990,0.984885780,0.295928384,complex
2.763527054,0.984885780,0.173249621,complex
2.779559118,0.984885780,0.297667567,complex
2.795591182,0.984885780,0.174262094,complex
2.811623246,0.984885780,0.299396946,complex
2.827655311,0.984885780,0.300258012,complex
2.843687375,0.984885780,0.301116689,complex
2.859719439,0.984885780,0.301973000,complex
2.875751503,0.984885780,0.302826962,complex
2.891783567,0.984885780,0.303678597,complex
2.907815631,0.984885780,0.177760798,complex
2.923847695,0.984885780,0.305374961,complex
2.939879760,0.984885780,0.306219729,complex
2.955911824,0.984885780,0.307062246,complex
2.971943888,0.984885780,0.307902530,complex
2.987975952,0.984885780,0.308740600,complex
3.004008016,0.984885780,0.309576473,complex
3.020040080,0.984885780,0.181192657,complex
3.036072144,0.984885780,0.181677688,complex
3.052104208,0.984885780,0.182161441,complex
3.068136273,0.984885780,0.312898353,complex
3.084168337,0.984885780,0.313723506,complex
3.100200401,0.984885780,0.314546566,complex
3.116232465,0.984885780,0.315367548,complex
3.132264529,0.984885780,0.316186470,complex
3.148296593,0.984885780,0.317003347,complex
3.164328657,0.984885780,0.317818196,complex
3.180360721,0.984885780,0.318631030,complex
3.196392786,0.984885780,0.319441867,complex
3.212424850,0.984885780,0.320250721,complex
3.228456914,0.984885780,0.321057608,complex
3.244488978,0.984885780,0.187870420,complex
3.260521042,0.984885780,0.322665536,complex
3.276553106,0.984885780,0.323466607,complex
3.292585170,0.984885780,0.324265768,complex
3.308617234,0.984885780,0.325063034,complex
3.324649299,0.984885780,0.325858418,complex
3.340681363,0.984885780,0.190661550,complex
3.356713427,0.984885780,0.327443597,complex
3.372745491,0.984885780,0.191582998,complex
3.388777555,0.984885780,0.192042085,complex
3.404809619,0.984885780,0.329807591,complex
3.420841683,0.984885780,0.330591969,complex
3.436873747,0.984885780,0.331374558,complex
3.452905812,0.984885780,0.332155371,complex
3.468937876,0.984885780,0.332934421,complex
3.484969940,0.984885780,0.333711720,complex
3.501002004,0.984885780,0.334487279,complex
3.517034068,0.984885780,0.195676483,complex
3.533066132,0.984885780,0.196126107,complex
3.549098196,0.984885780,0.336803645,complex
3.565130261,0.984885780,0.197022316,complex
3.581162325,0.984885780,0.338339412,complex
3.597194389,0.984885780,0.339104787,complex
3.613226453,0.984885780,0.339868505,complex
3.629258517,0.984885780,0.340630577,complex
3.645290581,0.984885780,0.341391014,complex
3.661322645,0.984885780,0.199687122,complex
3.677354709,0.984885780,0.200127852,complex
3.693386774,0.984885780,0.343662623,complex
3.709418838,0.984885780,0.201006452,complex
3.725450902,0.984885780,0.345169052,complex
3.741482966,0.984885780,0.201881279,complex
3.757515030,0.984885780,0.202317294,complex
3.773547094,0.984885780,0.347416935,complex
3.789579158,0.984885780,0.348163135,complex
3.805611222,0.984885780,0.348907803,complex
3.821643287,0.984885780,0.349650950,complex
3.837675351,0.984885780,0.204483611,complex
3.853707415,0.984885780,0.351132720,complex
3.869739479,0.984885780,0.351871361,complex
3.885771543,0.984885780,0.352608519,complex
3.901803607,0.984885780,0.353344204,complex
3.917835671,0.984885780,0.354078424,complex
3.933867735,0.984885780,0.354811189,complex
3.949899800,0.984885780,0.355542507,complex
3.965931864,0.984885780,0.356272388,complex
3.981963928,0.984885780,0.208327008,complex
3.997995992,0.984885780,0.357727872,complex
4.014028056,0.984885780,0.358453492,complex
4.030060120,0.984885780,0.359177711,complex
4.046092184,0.984885780,0.359900534,complex
4.062124248,0.984885780,0.360621972,complex
4.078156313,0.984885780,0.361342033,complex
4.094188377,0.984885780,0.362060724,complex
4.110220441,0.984885780,0.362778054,complex
4.126252505,0.984885780,0.363494031,complex
4.142284569,0.984885780,0.364208663,complex
4.158316633,0.984885780,0.364921958,complex
4.174348697,0.984885780,0.365633924,complex
4.190380762,0.984885780,0.213758354,complex
4.206412826,0.984885780,0.367053898,complex
4.222444890,0.984885780,0.367761921,complex
4.238476954,0.984885780,0.368468647,complex
4.254509018,0.984885780,0.369174080,complex
4.270541082,0.984885780,0.369878231,complex
4.286573146,0.984885780,0.370581104,complex
4.302605210,0.984885780,0.371282708,complex
4.318637275,0.984885780,0.371983051,complex
4.334669339,0.984885780,0.217440240,complex
4.350701403,0.984885780,0.217845557,complex
4.366733467,0.984885780,0.374076576,complex
4.382765531,0.984885780,0.218653973,complex
4.398797595,0.984885780,0.219057080,complex
