K,r_mean,F_mean,rho_max,angle,kind
1.374025974025974,0.9999536832180518,-2.0943951023931957,1.1800551502343035,0.6614664984908295,complex
1.3753246753246753,0.9999534059174684,-2.0943951023931957,1.1826412583780272,0.6585365162579322,complex
1.3766233766233766,0.9999531264599815,-2.0943951023931957,1.1852364601963163,0.65561915235188,complex
1.3779220779220778,0.9999528448248317,-2.0943951023931957,1.1878407229244843,0.6527143712351234,complex
1.3792207792207791,0.999952560991027,-2.0943951023931957,1.1904540131619707,0.6498221370820755,complex
1.3805194805194805,0.9999522749373371,-2.0943951023931957,1.1930762968894737,0.6469424137733522,complex
1.3818181818181818,0.9999519866422913,-2.0943951023931957,1.1957075394859336,0.6440751648904255,complex
1.383116883116883,0.9999516960841757,-2.0943951023931957,1.198347705745317,0.641220353710736,complex
1.3844155844155843,0.9999514032410293,-2.0943951023931957,1.2009967598932598,0.6383779432032014,complex
1.3857142857142857,0.9999511080906417,-2.0943951023931957,1.2036546656035374,0.6355478960241348,complex
1.387012987012987,0.9999508106105496,-2.0943951023931957,1.2063213860143651,0.6327301745135745,complex
1.3883116883116882,0.9999505107780322,-2.0943951023931957,1.2089968837445508,0.6299247406919862,complex
1.3896103896103895,0.9999502085701093,-2.0943951023931957,1.211681120909492,0.6271315562573488,complex
1.3909090909090909,0.9999499039635391,-2.0943951023931957,1.2143740591370047,0.6243505825826167,complex
1.3922077922077922,0.999949596934811,-2.0943951023931957,1.2170756595830028,0.6215817807135225,complex
1.3935064935064934,0.9999492874601464,-2.0943951023931957,1.219785882947037,0.6188251113667466,complex
1.3948051948051947,0.9999489755154917,-2.0943951023931957,1.222504689487655,0.6160805349284166,complex
1.396103896103896,0.9999486610765165,-2.0943951023931957,1.2252320390376406,0.6133480114529399,complex
1.3974025974025972,0.9999483441186099,-2.0943951023931957,1.2279678910190752,0.6106275006621533,complex
1.3987012987012986,0.9999480246168765,-2.0943951023931957,1.2307122044582555,0.6079189619447897,complex
1.4,0.9999477025461321,-2.0943951023931957,1.2334649380004785,0.6052223543562409,complex
