K,rho,angle,F_triangle,r(theta*),type,lam_pred,J_frobenius
102.12000000000002,0.98826944662681,0.0027420828390763803,-2.0943951023931957,0.9999999999770175,real+,0.9882657312211125,1.718532222063978
104.48000000000002,0.9879984416718988,0.0028062222496536976,-2.0943951023931957,0.9999999999780439,real+,0.9879945514882301,1.718220545067551
106.84000000000002,0.9877274407837096,0.0028703968561085065,-2.0943951023931957,0.9999999999790031,real+,0.9877233717553485,1.7179089017041345
109.20000000000002,0.9874564439655914,0.002934606686889682,-2.0943951023931957,0.999999999979901,real+,0.9874521920224677,1.7175972919920357
111.56000000000002,0.9871854512208957,0.0029988517704766255,-2.0943951023931957,0.9999999999807423,real+,0.9871810122895877,1.7172857159495731
113.92000000000002,0.9869144625529777,0.0030631321353784516,-2.0943951023931957,0.9999999999815319,real+,0.9869098325567082,1.716974173595077
116.28000000000002,0.9866434779651967,0.003127447810134705,-2.0943951023931957,0.999999999982274,real+,0.9866386528238293,1.7166626649468877
118.64000000000001,0.9863724974609153,0.0031917988233150633,-2.0943951023931957,0.9999999999829721,real+,0.9863674730909511,1.7163511900233583
121.00000000000001,0.9861015210435001,0.003256185203519096,-2.0943951023931957,0.99999999998363,real+,0.9860962933580734,1.7160397488428527
123.36000000000001,0.9858305487163213,0.0033206069793772857,-2.0943951023931957,0.9999999999842504,real+,0.9858251136251962,1.7157283414237459
125.72000000000001,0.9855595804827522,0.0033850641795498326,-2.0943951023931957,0.9999999999848361,real+,0.9855539338923195,1.7154169677844242
128.08,0.9852886163461705,0.003449556832727653,-2.0943951023931957,0.9999999999853897,real+,0.9852827541594432,1.715105627943286
130.44,0.9850176563099566,0.003514084967631851,-2.0943951023931957,0.9999999999859136,real+,0.9850115744265675,1.7147943219187403
132.8,0.9847467003774963,0.0035786486130141796,-2.0943951023931957,0.9999999999864098,real+,0.9847403946936921,1.7144830497292076
135.16000000000003,0.9844757485521772,0.0036432477976563295,-2.0943951023931957,0.9999999999868803,real+,0.9844692149608171,1.7141718113931201
137.52,0.9842048008373917,0.0037078825503711397,-2.0943951023931957,0.9999999999873266,real+,0.9841980352279425,1.7138606069289217
139.88000000000002,0.9839338572365355,0.0037725529000017174,-2.0943951023931957,0.9999999999877508,real+,0.9839268554950682,1.7135494363550663
142.24,0.9836629177530077,0.003837258875421668,-2.0943951023931957,0.9999999999881539,real+,0.9836556757621944,1.7132382996900206
144.60000000000002,0.983391982390212,0.003902000505535338,-2.0943951023931957,0.9999999999885374,real+,0.9833844960293208,1.7129271969522621
146.96,0.9831210511515548,0.003966777819277794,-2.0943951023931957,0.9999999999889024,real+,0.9831133162964475,1.7126161281602799
149.32000000000002,0.9828501240404466,0.004031590845614612,-2.0943951023931957,0.9999999999892505,real+,0.9828421365635744,1.7123050933325743
151.68,0.9825792010603026,0.004096439613542281,-2.0943951023931957,0.9999999999895826,real+,0.9825709568307017,1.711994092487657
154.04000000000002,0.9823082822145397,0.004161324152087851,-2.0943951023931957,0.9999999999898993,real+,0.9822997770978292,1.711683125644052
156.40000000000003,0.9820373675065799,0.004226244490309679,-2.0943951023931957,0.9999999999902017,real+,0.9820285973649571,1.711372192820293
158.76000000000002,0.9817664569398483,0.004291200657296562,-2.0943951023931957,0.9999999999904908,real+,0.981757417632085,1.711061294034927
161.12000000000003,0.9814955505177753,0.004356192682168258,-2.0943951023931957,0.9999999999907675,real+,0.9814862378992133,1.7107504293065112
163.48000000000002,0.9812246482437921,0.004421220594075506,-2.0943951023931957,0.9999999999910321,real+,0.9812150581663418,1.710439598653615
165.84000000000003,0.9809537501213369,0.004486284422200109,-2.0943951023931957,0.9999999999912854,real+,0.9809438784334705,1.7101288020948187
168.20000000000002,0.9806828561538489,0.004551384195754986,-2.0943951023931957,0.9999999999915282,real+,0.9806726987005994,1.7098180396487141
170.56000000000003,0.9804119663447726,0.004616519943983787,-2.0943951023931957,0.999999999991761,real+,0.9804015189677284,1.7095073113339052
172.92000000000002,0.9801410806975557,0.004681691696161545,-2.0943951023931957,0.9999999999919844,real+,0.9801303392348577,1.709196617169007
175.28000000000003,0.9798701992156502,0.004746899481594276,-2.0943951023931957,0.9999999999921988,real+,0.9798591595019872,1.7088859571726454
177.64000000000001,0.9795993219025116,0.004812143329619384,-2.0943951023931957,0.9999999999924049,real+,0.9795879797691168,1.7085753313634588
180.00000000000003,0.9793284487615987,0.004877423269605417,-2.0943951023931957,0.9999999999926026,real+,0.9793168000362465,1.7082647397600965
182.36,0.9790575797963745,0.004942739330951965,-2.0943951023931957,0.9999999999927929,real+,0.9790456203033765,1.7079541823812197
184.72000000000003,0.9787867150103058,0.005008091543090473,-2.0943951023931957,0.9999999999929758,real+,0.9787744405705067,1.7076436592455007
187.08,0.9785158544068634,0.005073479935483079,-2.0943951023931957,0.9999999999931519,real+,0.9785032608376368,1.7073331703716235
189.44000000000003,0.9782449979895211,0.0051389045376236875,-2.0943951023931957,0.9999999999933215,real+,0.9782320811047672,1.7070227157782838
191.8,0.9779741457617576,0.005204365379037606,-2.0943951023931957,0.9999999999934849,real+,0.9779609013718977,1.706712295484189
194.16000000000003,0.9777032977270537,0.005269862489281647,-2.0943951023931957,0.9999999999936422,real+,0.9776897216390285,1.706401909508057
196.52000000000004,0.9774324538888963,0.005335395897944226,-2.0943951023931957,0.999999999993794,real+,0.9774185419061592,1.7060915578686187
198.88000000000002,0.9771616142507742,0.005400965634644714,-2.0943951023931957,0.9999999999939404,real+,0.97714736217329,1.7057812405846153
201.24000000000004,0.9768907788161812,0.005466571729034966,-2.0943951023931957,0.9999999999940817,real+,0.9768761824404211,1.7054709576748006
203.60000000000002,0.976619947588614,0.005532214210797933,-2.0943951023931957,0.9999999999942181,real+,0.9766050027075522,1.7051607091579393
205.96000000000004,0.9763491205715741,0.005597893109648251,-2.0943951023931957,0.99999999999435,real+,0.9763338229746834,1.7048504950528078
208.32000000000002,0.9760782977685659,0.005663608455332672,-2.0943951023931957,0.9999999999944771,real+,0.9760626432418148,1.7045403153781942
210.68000000000004,0.9758074791830981,0.005729360277628976,-2.0943951023931957,0.9999999999946001,real+,0.9757914635089462,1.7042301701528981
213.04000000000002,0.9755366648186832,0.00579514860634757,-2.0943951023931957,0.9999999999947191,real+,0.9755202837760778,1.7039200593957309
215.40000000000003,0.9752658546788379,0.005860973471330286,-2.0943951023931957,0.9999999999948344,real+,0.9752491040432094,1.7036099831255158
217.76000000000002,0.9749950487670818,0.00592683490245084,-2.0943951023931957,0.9999999999949456,real+,0.9749779243103411,1.7032999413610863
220.12000000000003,0.9747242470869392,0.005992732929614852,-2.0943951023931957,0.9999999999950534,real+,0.974706744577473,1.7029899341212893
222.48000000000002,0.9744534496419381,0.00605866758276011,-2.0943951023931957,0.9999999999951578,real+,0.9744355648446048,1.7026799614249821
224.84000000000003,0.9741826564356103,0.006124638891856391,-2.0943951023931957,0.9999999999952589,real+,0.9741643851117368,1.7023700232910342
227.20000000000002,0.9739118674714914,0.006190646886905214,-2.0943951023931957,0.9999999999953568,real+,0.9738932053788689,1.7020601197383267
229.56000000000003,0.9736410827531206,0.006256691597940654,-2.0943951023931957,0.9999999999954519,real+,0.973622025646001,1.7017502507857523
231.92000000000004,0.9733703022840419,0.0063227730550285185,-2.0943951023931957,0.999999999995544,real+,0.9733508459131333,1.7014404164522148
234.28000000000003,0.9730995260678021,0.006388891288267087,-2.0943951023931957,0.9999999999956334,real+,0.9730796661802655,1.7011306167566305
236.64000000000004,0.9728287541079529,0.006455046327786667,-2.0943951023931957,0.99999999999572,real+,0.9728084864473979,1.700820851717927
239.00000000000003,0.9725579864080486,0.006521238203750025,-2.0943951023931957,0.999999999995804,real+,0.9725373067145303,1.7005111213550435
241.36000000000004,0.972287222971649,0.006587466946352013,-2.0943951023931957,0.9999999999958856,real+,0.9722661269816628,1.7002014256869311
243.72000000000003,0.9720164638023163,0.006653732585819945,-2.0943951023931957,0.999999999995965,real+,0.9719949472487954,1.6998917647325522
246.08000000000004,0.971745708903618,0.0067200351524135836,-2.0943951023931957,0.9999999999960419,real+,0.971723767515928,1.6995821385108816
248.44000000000003,0.9714749582791243,0.006786374676425017,-2.0943951023931957,0.9999999999961169,real+,0.9714525877830608,1.699272547040905
250.80000000000004,0.97120421193241,0.0068527511881789835,-2.0943951023931957,0.9999999999961897,real+,0.9711814080501935,1.6989629903416201
253.16000000000003,0.970933469867054,0.006919164718032561,-2.0943951023931957,0.9999999999962603,real+,0.9709102283173263,1.6986534684320365
