K,rho,angle,F_triangle,r(theta*),type,f_pred,A=1-gamma*dt
7.877094972067039,1.046574793278651,0.29170587222789246,-2.0943951023931957,0.9999995988302528,NS-candidate,0.04642643149400192,0.97
7.910614525139665,1.0467946524956375,0.29228249884566027,-2.0943951023931957,0.9999996022213389,NS-candidate,0.046518204470538026,0.97
7.94413407821229,1.0470143923965676,0.29285766038358396,-2.0943951023931957,0.9999996055696085,NS-candidate,0.046609744272374916,0.97
7.977653631284916,1.0472340135180924,0.2934313658997383,-2.0943951023931957,0.9999996088757799,NS-candidate,0.04670105234114997,0.97
8.011173184357542,1.0474535163915375,0.2940036243582212,-2.0943951023931957,0.9999996121405554,NS-candidate,0.04679213010354367,0.97
8.044692737430168,1.04767290154298,0.2945744446305126,-2.0943951023931957,0.9999996153646236,NS-candidate,0.0468829789714959,0.97
8.078212290502794,1.0478921694933188,0.2951438354968305,-2.0943951023931957,0.999999618548658,NS-candidate,0.046973600342421776,0.97
8.11173184357542,1.048111320758359,0.2957118056474445,-2.0943951023931957,0.9999996216933194,NS-candidate,0.04706399559942064,0.97
8.145251396648044,1.0483303558488768,0.2962783636839669,-2.0943951023931957,0.9999996247992535,NS-candidate,0.04715416611148163,0.97
8.17877094972067,1.0485492752706973,0.296843518120631,-2.0943951023931957,0.9999996278670942,NS-candidate,0.047244113233687025,0.97
8.212290502793296,1.0487680795247563,0.2974072773855323,-2.0943951023931957,0.9999996308974617,NS-candidate,0.04733383830740993,0.97
8.245810055865922,1.0489867691071773,0.29796964982185414,-2.0943951023931957,0.9999996338909637,NS-candidate,0.04742334266050918,0.97
8.279329608938546,1.0492053445093261,0.2985306436890709,-2.0943951023931957,0.9999996368481959,NS-candidate,0.047512627607520966,0.97
8.312849162011172,1.0494238062178938,0.2990902671641303,-2.0943951023931957,0.9999996397697419,NS-candidate,0.04760169444984693,0.97
8.346368715083798,1.0496421547149595,0.2996485283426028,-2.0943951023931957,0.9999996426561736,NS-candidate,0.04769054447593714,0.97
8.379888268156424,1.0498603904780357,0.3002054352398347,-2.0943951023931957,0.9999996455080513,NS-candidate,0.04777917896147356,0.97
8.41340782122905,1.050078513980145,0.30076099579204935,-2.0943951023931957,0.9999996483259245,NS-candidate,0.04786759916954539,0.97
8.446927374301676,1.05029652568989,0.3013152178574577,-2.0943951023931957,0.9999996511103317,NS-candidate,0.047955806350825726,0.97
8.480446927374302,1.050514426071499,0.30186810921732554,-2.0943951023931957,0.9999996538618006,NS-candidate,0.048043801743741496,0.97
8.513966480446928,1.0507322155848902,0.3024196775770439,-2.0943951023931957,0.9999996565808488,NS-candidate,0.04813158657464376,0.97
8.547486033519553,1.0509498946857319,0.30296993056715826,-2.0943951023931957,0.9999996592679836,NS-candidate,0.048219162057971554,0.97
8.581005586592179,1.0511674638254964,0.3035188757443954,-2.0943951023931957,0.9999996619237026,NS-candidate,0.048306529396415304,0.97
8.614525139664805,1.0513849234515245,0.304066520592667,-2.0943951023931957,0.9999996645484934,NS-candidate,0.04839368978107653,0.97
8.64804469273743,1.051602274007067,0.30461287252405594,-2.0943951023931957,0.9999996671428344,NS-candidate,0.048480644391624896,0.97
8.681564245810055,1.0518195159313533,0.3051579388797818,-2.0943951023931957,0.999999669707195,NS-candidate,0.04856739439645175,0.97
8.71508379888268,1.0520366496596385,0.3057017269311606,-2.0943951023931957,0.9999996722420353,NS-candidate,0.048653940952822994,0.97
8.748603351955307,1.0522536756232526,0.3062442438805352,-2.0943951023931957,0.9999996747478068,NS-candidate,0.048740285207027105,0.97
8.782122905027933,1.0524705942496584,0.3067854968621942,-2.0943951023931957,0.9999996772249518,NS-candidate,0.04882642829452136,0.97
8.815642458100559,1.0526874059625027,0.30732549294328015,-2.0943951023931957,0.9999996796739051,NS-candidate,0.048912371340076435,0.97
