K,rho_num,angle_num,F_triangle,r(theta*),type,rho_closed,angle_closed,J_frobenius
1.7949917898193761,0.9805610638812868,0.0994371137351257,-2.0943951023931957,0.9999921961086763,real+,1.0875498080317825,0.0,2.405931261339647
1.7951559934318555,0.9805610638812865,0.09944186247070262,-2.0943951023931957,0.9999921975334055,real+,1.0875547502352618,0.0,2.4059320857938062
1.795320197044335,0.9805610638812867,0.09944661098026407,-2.0943951023931957,0.9999921989577445,real+,1.08755969224353,0.0,2.405932910393407
1.7954844006568145,0.9805610638812862,0.09987072659089126,-2.0943951023931957,0.9999922003816938,real+,1.0875646340566107,0.0,2.4059337351384484
1.795648604269294,0.9805610638812862,0.09987545496555204,-2.0943951023931957,0.9999922018052528,real+,1.0875695756745327,0.0,2.4059345600289315
1.7958128078817734,0.9805610638812862,0.09988018311707691,-2.0943951023931957,0.9999922032284224,real+,1.0875745170973201,0.0,2.405935385064856
1.7959770114942528,0.9805610638812859,0.09988491104549753,-2.0943951023931957,0.9999922046512024,real+,1.0875794583249987,0.0,2.4059362102462205
1.7961412151067324,0.9805610638812859,0.09988963875084551,-2.0943951023931957,0.9999922060735928,real+,1.087584399357595,0.0,2.405937035573026
1.7963054187192118,0.9805610638812869,0.09947509729313492,-2.0943951023931957,0.9999922074955943,real+,1.087589340195133,0.0,2.405937861045272
1.7964696223316914,0.9805610638812868,0.0994798442214985,-2.0943951023931957,0.9999922089172064,real+,1.0875942808376406,0.0,2.405938686662959
1.7966338259441708,0.9805610638812859,0.09990382052877084,-2.0943951023931957,0.9999922103384296,real+,1.0875992212851426,0.0,2.4059395124260856
1.7967980295566504,0.980561063881286,0.09948933740098947,-2.0943951023931957,0.9999922117592638,real+,1.0876041615376646,0.0,2.405940338334653
1.7969622331691297,0.9805610638812862,0.0994940836521816,-2.0943951023931957,0.9999922131797094,real+,1.0876091015952332,0.0,2.4059411643886595
1.7971264367816093,0.9805610638812867,0.09949882967771415,-2.0943951023931957,0.9999922145997664,real+,1.087614041457873,0.0,2.4059419905881065
1.7972906403940887,0.9805610638812864,0.09992272644490965,-2.0943951023931957,0.999992216019435,real+,1.08761898112561,0.0,2.405942816932993
1.7974548440065683,0.9805610638812872,0.0995083210519315,-2.0943951023931957,0.9999922174387154,real+,1.0876239205984715,0.0,2.4059436434233183
1.7976190476190477,0.980561063881287,0.0995130664006804,-2.0943951023931957,0.9999922188576075,real+,1.0876288598764796,0.0,2.4059444700590835
1.797783251231527,0.9805610638812865,0.09951781152389969,-2.0943951023931957,0.9999922202761116,real+,1.087633798959664,0.0,2.405945296840288
1.7979474548440066,0.9805610638812865,0.0995225564216208,-2.0943951023931957,0.9999922216942281,real+,1.087638737848049,0.0,2.4059461237669315
1.798111658456486,0.9805610638812859,0.09994635382688505,-2.0943951023931957,0.9999922231119565,real+,1.0876436765416586,0.0,2.405946950839014
1.7982758620689656,0.9805610638812862,0.09995107863516986,-2.0943951023931957,0.9999922245292976,real+,1.0876486150405202,0.0,2.405947778056535
1.798440065681445,0.9805610638812869,0.09953678976211917,-2.0943951023931957,0.999992225946251,real+,1.0876535533446607,0.0,2.405948605419495
1.7986042692939246,0.9805610638812862,0.09996052758388195,-2.0943951023931957,0.9999922273628175,real+,1.0876584914541025,0.0,2.4059494329278928
1.798768472906404,0.9805610638812864,0.0995462775288869,-2.0943951023931957,0.9999922287789965,real+,1.0876634293688738,0.0,2.4059502605817293
1.7989326765188836,0.9805610638812865,0.09955102107429811,-2.0943951023931957,0.9999922301947886,real+,1.0876683670890004,0.0,2.405951088381004
1.799096880131363,0.9805610638812859,0.09997469933777976,-2.0943951023931957,0.9999922316101939,real+,1.0876733046145064,0.0,2.4059519163257166
1.7992610837438423,0.9805610638812866,0.0995605074893361,-2.0943951023931957,0.9999922330252125,real+,1.0876782419454183,0.0,2.405952744415867
1.799425287356322,0.9805610638812862,0.09956525035902669,-2.0943951023931957,0.9999922344398444,real+,1.0876831790817607,0.0,2.405953572651455
1.7995894909688013,0.9805610638812862,0.09956999300354223,-2.0943951023931957,0.9999922358540898,real+,1.0876881160235612,0.0,2.405954401032481
1.7997536945812809,0.9805610638812865,0.09957473542291422,-2.0943951023931957,0.9999922372679491,real+,1.0876930527708446,0.0,2.405955229558944
1.7999178981937602,0.9805610638812865,0.09957947761717452,-2.0943951023931957,0.9999922386814221,real+,1.0876979893236367,0.0,2.405956058230844
1.8000821018062398,0.9805610638812863,0.09958421958635642,-2.0943951023931957,0.999992240094509,real+,1.087702925681962,0.0,2.405956887048182
1.8002463054187192,0.980561063881286,0.10000775897849634,-2.0943951023931957,0.9999922415072101,complex,1.0877078618458464,0.0,2.4059577160109558
1.8004105090311988,0.9805610638812865,0.09959370284961032,-2.0943951023931957,0.9999922429195254,real+,1.0877127978153183,0.0,2.405958545119167
1.8005747126436782,0.9805610638812859,0.09959844414374731,-2.0943951023931957,0.9999922443314553,real+,1.0877177335903994,0.0,2.4059593743728147
1.8007389162561578,0.9805610638812867,0.09960318521293347,-2.0943951023931957,0.9999922457429996,real+,1.087722669171117,0.0,2.405960203771899
1.8009031198686372,0.9805610638812863,0.10002664531154179,-2.0943951023931957,0.9999922471541585,complex,1.0877276045574984,0.0,2.4059610333164194
1.8010673234811165,0.9805610638812864,0.09961266667658288,-2.0943951023931957,0.9999922485649322,real+,1.0877325397495665,0.0,2.405961863006376
1.8012315270935961,0.9805610638812868,0.09961740707111003,-2.0943951023931957,0.9999922499753211,real+,1.087737474747347,0.0,2.405962692841769
1.8013957307060755,0.9805610638812865,0.09962214724081514,-2.0943951023931957,0.9999922513853248,real+,1.0877424095508677,0.0,2.405963522822598
1.801559934318555,0.9805610638812866,0.09962688718573054,-2.0943951023931957,0.9999922527949439,real+,1.087747344160153,0.0,2.405964352948862
1.8017241379310345,0.9805610638812866,0.09963162690588757,-2.0943951023931957,0.9999922542041784,real+,1.087752278575228,0.0,2.405965183220562
1.801888341543514,0.9805610638812867,0.09963636640131883,-2.0943951023931957,0.9999922556130283,real+,1.0877572127961181,0.0,2.4059660136376975
1.8020525451559934,0.9805610638812863,0.09964110567205606,-2.0943951023931957,0.9999922570214939,real+,1.0877621468228504,0.0,2.405966844200268
1.802216748768473,0.9805610638812869,0.09964584471813182,-2.0943951023931957,0.9999922584295753,real+,1.08776708065545,0.0,2.405967674908274
1.8023809523809524,0.9805610638812867,0.09965058353957809,-2.0943951023931957,0.9999922598372726,real+,1.0877720142939409,0.0,2.405968505761715
1.8025451559934318,0.9805610638812863,0.09965532213642594,-2.0943951023931957,0.9999922612445862,real+,1.0877769477383505,0.0,2.40596933676059
1.8027093596059114,0.9805610638812864,0.09966006050870871,-2.0943951023931957,0.9999922626515156,real+,1.087781880988703,0.0,2.4059701679049006
1.8028735632183908,0.980561063881286,0.1000832829946916,-2.0943951023931957,0.9999922640580616,complex,1.0877868140450246,0.0,2.405970999194645
1.8030377668308704,0.9805610638812867,0.09966953657970576,-2.0943951023931957,0.9999922654642243,real+,1.0877917469073421,0.0,2.405971830629824
