K,rho1,ang1,rho2,ang2
21.409935668,1.391331307,0.720197670,1.346772968,0.747730150
21.481057898,1.392428454,0.720992132,1.347828741,0.748574432
21.552180129,1.393524628,0.721784001,1.348883689,0.749415969
21.623302359,1.394619833,0.722573292,1.349937811,0.750254777
21.694424589,1.395714071,0.723360019,1.350991112,0.751090871
21.765546819,1.396807345,0.724144198,1.352043591,0.751924268
21.836669049,1.397899658,0.724925844,1.353095252,0.752754982
21.907791279,1.398991013,0.725704970,1.354146097,0.753583028
21.978913510,1.400081412,0.726481592,1.355196126,0.754408422
22.050035740,1.401170858,0.727255723,1.356245343,0.755231179
22.121157970,1.402259353,0.728027377,1.357293748,0.756051313
22.192280200,1.403346902,0.728796570,1.358341344,0.756868840
22.263402430,1.404433505,0.729563314,1.359388133,0.757683773
22.334524660,1.405519166,0.730327624,1.360434117,0.758496128
22.405646891,1.406603888,0.731089513,1.361479297,0.759305918
22.476769121,1.407687672,0.731848995,1.362523675,0.760113159
22.547891351,1.408770523,0.732606083,1.363567253,0.760917863
22.619013581,1.409852442,0.733360791,1.364610033,0.761720045
22.690135811,1.410933432,0.734113132,1.365652017,0.762519720
22.761258041,1.412013495,0.734863119,1.366693207,0.763316900
22.832380272,1.413092635,0.735610765,1.367733604,0.764111600
22.903502502,1.414170853,0.736356083,1.368773210,0.764903833
22.974624732,1.415248152,0.737099086,1.369812027,0.765693612
23.045746962,1.416324536,0.737839787,1.370850057,0.766480951
23.116869192,1.417400005,0.738578197,1.371887301,0.767265863
23.187991422,1.418474564,0.739314331,1.372923762,0.768048361
23.259113653,1.419548213,0.740048200,1.373959441,0.768828458
23.330235883,1.420620957,0.740779816,1.374994340,0.769606168
23.401358113,1.421692797,0.741509193,1.376028461,0.770381502
23.472480343,1.422763735,0.742236340,1.377061805,0.771154474
23.543602573,1.423833775,0.742961272,1.378094374,0.771925097
23.614724803,1.424902919,0.743684000,1.379126170,0.772693382
23.685847034,1.425971168,0.744404535,1.380157194,0.773459343
23.756969264,1.427038526,0.745122890,1.381187449,0.774222991
23.828091494,1.428104995,0.745839076,1.382216937,0.774984339
23.899213724,1.429170577,0.746553104,1.383245657,0.775743399
23.970335954,1.430235275,0.747264986,1.384273614,0.776500182
24.041458184,1.431299091,0.747974734,1.385300808,0.777254702
24.112580415,1.432362027,0.748682358,1.386327240,0.778006970
24.183702645,1.433424085,0.749387871,1.387352913,0.778756997
24.254824875,1.434485269,0.750091282,1.388377829,0.779504795
24.325947105,1.435545581,0.750792604,1.389401988,0.780250376
24.397069335,1.436605021,0.751491846,1.390425393,0.780993752
24.468191565,1.437663594,0.752189020,1.391448045,0.781734933
24.539313796,1.438721301,0.752884137,1.392469946,0.782473931
24.610436026,1.439778145,0.753577207,1.393491098,0.783210757
24.681558256,1.440834128,0.754268242,1.394511502,0.783945423
24.752680486,1.441889251,0.754957250,1.395531160,0.784677940
24.823802716,1.442943518,0.755644244,1.396550074,0.785408318
24.894924946,1.443996930,0.756329233,1.397568244,0.786136568
24.966047177,1.445049491,0.757012227,1.398585674,0.786862701
25.037169407,1.446101201,0.757693237,1.399602364,0.787586729
25.108291637,1.447152063,0.758372273,1.400618315,0.788308661
25.179413867,1.448202080,0.759049346,1.401633531,0.789028508
25.250536097,1.449251253,0.759724464,1.402648011,0.789746281
25.321658327,1.450299585,0.760397638,1.403661759,0.790461990
25.392780558,1.451347078,0.761068877,1.404674775,0.791175646
25.463902788,1.452393733,0.761738193,1.405687060,0.791887258
25.535025018,1.453439554,0.762405593,1.406698618,0.792596837
25.606147248,1.454484543,0.763071088,1.407709448,0.793304393
25.677269478,1.455528701,0.763734687,1.408719553,0.794009937
25.748391708,1.456572030,0.764396401,1.409728934,0.794713477
25.819513939,1.457614533,0.765056237,1.410737593,0.795415025
25.890636169,1.458656212,0.765714207,1.411745532,0.796114589
25.961758399,1.459697068,0.766370318,1.412752751,0.796812180
26.032880629,1.460737105,0.767024580,1.413759253,0.797507807
26.104002859,1.461776323,0.767677002,1.414765039,0.798201480
26.175125089,1.462814726,0.768327593,1.415770110,0.798893208
26.246247320,1.463852314,0.768976363,1.416774468,0.799583002
26.317369550,1.464889091,0.769623320,1.417778115,0.800270870
26.388491780,1.465925058,0.770268473,1.418781051,0.800956821
26.459614010,1.466960217,0.770911831,1.419783279,0.801640866
26.530736240,1.467994570,0.771553403,1.420784801,0.802323012
26.601858470,1.469028119,0.772193197,1.421785616,0.803003271
26.672980701,1.470060866,0.772831222,1.422785728,0.803681649
26.744102931,1.471092814,0.773467486,1.423785137,0.804358157
26.815225161,1.472123964,0.774101999,1.424783846,0.805032804
26.886347391,1.473154317,0.774734768,1.425781854,0.805705597
26.957469621,1.474183877,0.775365802,1.426779165,0.806376547
27.028591851,1.475212645,0.775995109,1.427775779,0.807045662
27.099714081,1.476240623,0.776622698,1.428771697,0.807712951
27.170836312,1.477267812,0.777248576,1.429766922,0.808378422
27.241958542,1.478294216,0.777872752,1.430761455,0.809042084
27.313080772,1.479319835,0.778495235,1.431755297,0.809703945
27.384203002,1.480344671,0.779116031,1.432748450,0.810364014
27.455325232,1.481368727,0.779735149,1.433740914,0.811022300
27.526447462,1.482392005,0.780352597,1.434732692,0.811678810
27.597569693,1.483414506,0.780968382,1.435723785,0.812333553
