K,Re(mu1),Im(mu1),Re(mu2),Im(mu2),mu_star,scheme
4.97,-5.710844059117688,-0.6593782598660493,-5.710844059117688,0.6593782598660493,-2.9999999999999996,explicit
4.98,-5.722334760400366,-0.6607051982666804,-5.722334760400366,0.6607051982666804,-2.9999999999999996,explicit
4.99,-5.733825461544346,-0.6620321362257803,-5.733825461544346,0.6620321362257803,-2.9999999999999996,explicit
5.0,-5.745316162550461,-0.6633590737459902,-5.745316162550461,0.6633590737459902,-2.9999999999999996,explicit
5.01,-5.7568068634195395,-0.6646860108299305,-5.7568068634195395,0.6646860108299305,-2.9999999999999996,explicit
5.02,-5.768297564152394,-0.6660129474801985,-5.768297564152394,0.6660129474801985,-2.9999999999999996,explicit
5.03,-5.779788264749839,-0.667339883699375,-5.779788264749839,0.667339883699375,-2.9999999999999996,explicit
5.04,-5.79127896521268,-0.6686668194900173,-5.79127896521268,0.6686668194900173,-2.9999999999999996,explicit
5.05,-5.802769665541714,-0.6699937548546637,-5.802769665541714,0.6699937548546637,-2.9999999999999996,explicit
5.0600000000000005,-5.814260365737736,-0.6713206897958328,-5.814260365737736,0.6713206897958328,-2.9999999999999996,explicit
5.07,-5.825751065801532,-0.6726476243160207,-5.825751065801532,0.6726476243160207,-2.9999999999999996,explicit
5.08,-5.83724176573388,-0.6739745584177094,-5.83724176573388,0.6739745584177094,-2.9999999999999996,explicit
5.09,-5.848732465535559,-0.6753014921033554,-5.848732465535559,0.6753014921033554,-2.9999999999999996,explicit
5.1,-5.86022316520733,-0.6766284253753992,-5.86022316520733,0.6766284253753992,-2.9999999999999996,explicit
5.11,-5.871713864749961,-0.6779553582362629,-5.871713864749961,0.6779553582362629,-2.9999999999999996,explicit
5.12,-5.883204564164205,-0.6792822906883474,-5.883204564164205,0.6792822906883474,-2.9999999999999996,explicit
5.13,-5.89469526345081,-0.6806092227340365,-5.89469526345081,0.6806092227340365,-2.9999999999999996,explicit
5.140000000000001,-5.906185962610529,-0.6819361543756947,-5.906185962610529,0.6819361543756947,-2.9999999999999996,explicit
5.15,-5.91767666164409,-0.6832630856156696,-5.91767666164409,0.6832630856156696,-2.9999999999999996,explicit
5.16,-5.929167360552231,-0.6845900164562886,-5.929167360552231,0.6845900164562886,-2.9999999999999996,explicit
5.17,-5.940658059335678,-0.6859169468998627,-5.940658059335678,0.6859169468998627,-2.9999999999999996,explicit
5.18,-5.952148757995155,-0.6872438769486843,-5.952148757995155,0.6872438769486843,-2.9999999999999996,explicit
5.19,-5.963639456531377,-0.6885708066050285,-5.963639456531377,0.6885708066050285,-2.9999999999999996,explicit
5.2,-5.975130154945051,-0.6898977358711536,-5.975130154945051,0.6898977358711536,-2.9999999999999996,explicit
5.21,-5.986620853236884,-0.6912246647492994,-5.986620853236884,0.6912246647492994,-2.9999999999999996,explicit
5.220000000000001,-5.998111551407582,-0.6925515932416891,-5.998111551407582,0.6925515932416891,-2.9999999999999996,explicit
5.23,-6.009602249457828,-0.6938785213505293,-6.009602249457828,0.6938785213505293,-2.9999999999999996,explicit
5.24,-6.021092947388316,-0.6952054490780086,-6.021092947388316,0.6952054490780086,-2.9999999999999996,explicit
5.25,-6.032583645199732,-0.6965323764263011,-6.032583645199732,0.6965323764263011,-2.9999999999999996,explicit
5.26,-6.044074342892752,-0.6978593033975631,-6.044074342892752,0.6978593033975631,-2.9999999999999996,explicit
5.27,-6.055565040468051,-0.699186229993933,-6.055565040468051,0.699186229993933,-2.9999999999999996,explicit
5.28,-6.067055737926299,-0.700513156217537,-6.067055737926299,0.700513156217537,-2.9999999999999996,explicit
5.29,-6.0785464352681515,-0.7018400820704802,-6.0785464352681515,0.7018400820704802,-2.9999999999999996,explicit
5.3,-6.090037132494277,-0.7031670075548574,-6.090037132494277,0.7031670075548574,-2.9999999999999996,explicit
5.3100000000000005,-6.1015278296053195,-0.704493932672744,-6.1015278296053195,0.704493932672744,-2.9999999999999996,explicit
5.32,-6.113018526601934,-0.7058208574262007,-6.113018526601934,0.7058208574262007,-2.9999999999999996,explicit
