K,rho,angle,F_triangle,r(theta*),type,diagnosis
2.693366708385482,0.9950752197168727,0.1771369366008691,-2.0943951023931957,0.9999965742886034,complex (inside/outside),
2.707133917396746,0.9951014070249036,0.17759361315877226,-2.0943951023931957,0.999996608999929,complex (inside/outside),
2.72090112640801,0.9951275303877558,0.17804913052512303,-2.0943951023931957,0.9999966431863393,complex (inside/outside),
2.7346683354192742,0.9951535902933999,0.17850349757582126,-2.0943951023931957,0.9999966768583652,complex (inside/outside),
2.748435544430538,0.9951795872236644,0.1789567230743101,-2.0943951023931957,0.9999967100262748,complex (inside/outside),
2.7622027534418025,0.9952055216543414,0.17940881567356323,-2.0943951023931957,0.9999967427000811,complex (inside/outside),
2.7759699624530665,0.9952313940552946,0.17985978391801832,-2.0943951023931957,0.9999967748895502,complex (inside/outside),
2.7897371714643304,0.9952572048905666,0.18030963624547885,-2.0943951023931957,0.9999968066042074,complex (inside/outside),
2.8035043804755944,0.9952829546184684,0.18075838098896657,-2.0943951023931957,0.9999968378533455,complex (inside/outside),
2.8172715894868587,0.9953086436916878,0.18120602637853048,-2.0943951023931957,0.999996868646031,complex (inside/outside),
2.8310387984981227,0.9953342725573868,0.1816525805430211,-2.0943951023931957,0.9999968989911103,complex (inside/outside),
2.844806007509387,0.9953598416572822,0.18209805151182543,-2.0943951023931957,0.9999969288972173,complex (inside/outside),
2.858573216520651,0.9953853514277559,0.18254244721655724,-2.0943951023931957,0.9999969583727779,complex (inside/outside),
2.872340425531915,0.9954108022999296,0.1829857754927216,-2.0943951023931957,0.9999969874260174,complex (inside/outside),
2.886107634543179,0.9954361946997662,0.18342804408133268,-2.0943951023931957,0.9999970160649652,complex (inside/outside),
2.899874843554443,0.995461529048143,0.18386926063050027,-2.0943951023931957,0.9999970442974614,complex (inside/outside),
2.913642052565707,0.9954868057609428,0.1843094326969872,-2.0943951023931957,0.9999970721311607,complex (inside/outside),
2.9274092615769716,0.9955120252491455,0.18474856774772672,-2.0943951023931957,0.999997099573539,complex (inside/outside),
2.9411764705882355,0.9955371879188902,0.185186673161309,-2.0943951023931957,0.9999971266318977,complex (inside/outside),
2.9549436795994994,0.9955622941715666,0.18562375622943644,-2.0943951023931957,0.9999971533133684,complex (inside/outside),
2.9687108886107634,0.9955873444038945,0.18605982415835534,-2.0943951023931957,0.9999971796249185,complex (inside/outside),
2.9824780976220273,0.9956123390079907,0.18649488407024165,-2.0943951023931957,0.9999972055733548,complex (inside/outside),
2.9962453066332917,0.9956372783714466,0.1869289430045754,-2.0943951023931957,0.999997231165328,complex (inside/outside),
3.0100125156445556,0.9956621628774125,0.18736200791947422,-2.0943951023931957,0.9999972564073378,complex (inside/outside),
3.02377972465582,0.9956869929046414,0.1877940856930037,-2.0943951023931957,0.9999972813057362,complex (inside/outside),
3.037546933667084,0.9957117688275952,0.1882251831244628,-2.0943951023931957,0.9999973058667313,complex (inside/outside),
3.051314142678348,0.9957364910164799,0.1886553069356371,-2.0943951023931957,0.9999973300963921,complex (inside/outside),
3.0650813516896123,0.9957611598373302,0.1890844637720342,-2.0943951023931957,0.9999973540006519,complex (inside/outside),
3.078848560700876,0.9957857756520805,0.1895126602040853,-2.0943951023931957,0.9999973775853113,complex (inside/outside),
3.09261576971214,0.9958103388186093,0.1899399027283316,-2.0943951023931957,0.9999974008560424,complex (inside/outside),
3.1063829787234045,0.9958348496908156,0.19036619776857724,-2.0943951023931957,0.9999974238183924,complex (inside/outside),
3.1201501877346685,0.9958593086186854,0.1907915516770277,-2.0943951023931957,0.9999974464777859,complex (inside/outside),
3.1339173967459324,0.9958837159483372,0.19121597073540064,-2.0943951023931957,0.999997468839529,complex (inside/outside),
3.1476846057571968,0.9959080720220956,0.19163946115601477,-2.0943951023931957,0.9999974909088124,complex (inside/outside),
3.1614518147684607,0.9959323771785359,0.19206202908286182,-2.0943951023931957,0.9999975126907136,complex (inside/outside),
3.1752190237797246,0.9959566317525592,0.19248368059264626,-2.0943951023931957,0.9999975341902011,complex (inside/outside),
3.188986232790989,0.9959808360754292,0.19290442169582145,-2.0943951023931957,0.9999975554121356,complex (inside/outside),
3.202753441802253,0.9960049904748376,0.19332425833758987,-2.0943951023931957,0.9999975763612747,complex (inside/outside),
3.216520650813517,0.9960290952749598,0.19374319639889237,-2.0943951023931957,0.9999975970422735,complex (inside/outside),
3.2302878598247813,0.9960531507964967,0.19416124169737564,-2.0943951023931957,0.999997617459689,complex (inside/outside),
3.244055068836045,0.9960771573567414,0.19457839998834237,-2.0943951023931957,0.9999976376179812,complex (inside/outside),
3.257822277847309,0.9961011152696151,0.19499467696568124,-2.0943951023931957,0.9999976575215168,complex (inside/outside),
3.271589486858573,0.9961250248457311,0.1954100782627804,-2.0943951023931957,0.9999976771745702,complex (inside/outside),
3.2853566958698375,0.9961488863924276,0.1958246094534254,-2.0943951023931957,0.999997696581327,complex (inside/outside),
3.2991239048811014,0.9961727002138314,0.1962382760526745,-2.0943951023931957,0.9999977157458857,complex (inside/outside),
3.3128911138923653,0.9961964666108921,0.19665108351772392,-2.0943951023931957,0.9999977346722596,complex (inside/outside),
3.3266583229036297,0.9962201858814422,0.19706303724875276,-2.0943951023931957,0.9999977533643798,complex (inside/outside),
3.3404255319148937,0.9962438583202262,0.1974741425897536,-2.0943951023931957,0.999997771826096,complex (inside/outside),
3.3541927409261576,0.9962674842189565,0.1978844048293464,-2.0943951023931957,0.9999977900611793,complex (inside/outside),
3.367959949937422,0.9962910638663502,0.1982938292015808,-2.0943951023931957,0.9999978080733243,complex (inside/outside),
3.381727158948686,0.9963145975481802,0.19870242088671794,-2.0943951023931957,0.9999978258661503,complex (inside/outside),
3.39549436795995,0.9963380855473114,0.19911018501200073,-2.0943951023931957,0.9999978434432034,complex (inside/outside),
3.4092615769712142,0.9963615281437372,0.19951712665241472,-2.0943951023931957,0.9999978608079587,complex (inside/outside),
